collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
67122,col,Grodziszcze,19.766666,49.866669,"Jastrzebia, Grodziszcze Beds, Carpathians",,,60,Barremian,,129.4,125,Morycowa,1964,19144,PL,,,based on nearby landmark,minutes,outcrop,"S of Jastrzebia, 1.5 km E of Lanckorona, 25 km SW of Krakow",gp_mid,40.74,35.93,305,PL,,Grodziszcze,,,group of beds,,,,,,,,"Original age call Barremian to Early Aptian, but newer data, partly based on dinoflagellates, suggest rather Hauterivian-Barremian age (Ziaja, 1989). Barremian as compromise age.",reef fragments in flysch deposits ,reef rocks,,lithified,,,conglomerate,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67123,col,Grodziszcze,21.083332,49.933334,"Trzemesna, Grodziszcze Beds, Carpathians",,,47,Barremian,,129.4,125,Morycowa,1964,19144,PL,,,based on nearby landmark,minutes,outcrop,5 km N of Tuchow,gp_mid,41.79,36,305,PL,,Grodziszcze,,,group of beds,,,,,,,,"Original age call Barremian to Early Aptian, but newer data, partly based on dinoflagellates, suggest rather Hauterivian-Barremian age (Ziaja, 1989). Barremian as compromise age.",reef fragments in flysch deposits ,reef rocks,,lithified,,,conglomerate,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67124,col,Grodziszcze,19.85,49.950001,"Bukow, Grodziszcze Beds, Carpathians",,,13,Barremian,,129.4,125,Morycowa,1964,19144,PL,,,based on nearby landmark,minutes,outcrop,15 km WSW of Wieliczka,gp_mid,40.81,36.02,305,PL,,Grodziszcze,,,group of beds,,,,,,,,,reef fragments in flysch deposits ,reef rocks,,lithified,,,conglomerate,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67125,col,Grodziszcze,19.483334,49.933334,"Wozniki, Grodziszcze Beds, Carpathians",,,1,Hauterivian,,132.9,129.4,Morycowa,1964,19144,PL,,,based on nearby landmark,minutes,outcrop,6 km N of Wadowice,gp_mid,39.26,34.76,305,PL,,Grodziszcze,,,group of beds,,,,,,,,,reef fragments in flysch deposits ,reef rocks,,lithified,,,conglomerate,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67457,col,,23.5,48.333332,"Ugolka River Basin, Marmarosh Klippen Zone, Carpathians",,Reef 1969,14,Barremian,,129.4,125,Chernov and Yanin,1979,19233,UA,,,estimated from map,minutes,local area,"in the basin of the rivers Small and Big Ugolka, Lujanka, Tevshak; W Ukraine",gp_mid,43.75,34.42,305,UA,,,,,group of beds,,,,,,,,"""Urgonian limestones""",,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"coral and algae bioherms, cores 5-10 m wide, 5-20 m thick, 8-100 m long","macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67510,col,,43.416668,42.483334,"Shkmeri, Dzirul Massif",,Reef 1972,8,Hauterivian,,132.9,129.4,Sikharulidze,1985,30120,GE,,,based on nearby landmark,minutes,outcrop,"near the village Shkmeri, 25 km NE of Chiat'ura, N Dzirul Massif",gp_mid,59.32,28.71,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"bioherm, up to 130 m",macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67511,col,,43.316666,42.366669,"Mokhorotubani, Dzirul Massif",,Reef 1971,21,Hauterivian,,132.9,129.4,Sikharulidze,1985,30120,GE,,,based on nearby landmark,minutes,outcrop,"NE of Chiat'ura, northern Dzirul Massif",gp_mid,59.25,28.59,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"bioherm, 15 m thick",macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67512,col,,43.633331,42.083332,"Ali-Goresha area, Dzirul Massif",,Reef 1973,25,Early Barremian,,130,125.45,Sikharulidze,1985,30120,GE,,,based on nearby landmark,minutes,local area,"Ali, Goresha, Lashe and Kvesrevi, S Dzirul Massif",gp_mid,60.58,28.83,511,GE,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"coral-rudist biostromes, 4-10 m thick",macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67562,col,,18.166668,49.650002,"Klokocov, Pribor area, patch reefs, Zdanice-Subsilesian Unit",,Reef 1743,16,Cenomanian,Santonian,100.5,83.6,Eliasova,1989,19253,CZ,,,based on nearby landmark,minutes,outcrop,"NE of Klokocov, E of Pribor, Moravia",gp_mid,30.46,42.79,305,CZ,,,,,group of beds,,,,,,,,redeposited by slumps in the Late Cretaceous Klokocov Member of the Frydek Formation,,limestone,,lithified,,,conglomerate,,lithified,,,"reef, buildup or bioherm",,thin patch reefs in a highly stressed environment on the intrabasinal heights in an area of predominantly siliciclastic sedimentation,macrofossils,,,,,,,,,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67563,col,,22.783333,42.75,"Ljalinci, Rebro area, subreef facies, Pernik",,,7,Late Turonian,,93.5,89.3,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"W of Ljalinci, N of Rebro, Pernik, W Bulgaria near the Serbian border",gp_mid,30.52,26.9,308,BG,,,,,group of beds,,,,,,,,,"light grey or reddish limestones, 70-80 m",limestone,,lithified,,,,,,,,perireef or subreef,,subreef facies,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67569,col,,22.866667,42.799999,"Krasava, Breznik area, Biostrome, Pernik",,Reef 2736,12,Maastrichtian,,72.1,66,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"SW of Krasava, NW of Breznik, Pernik, W Bulgaria near the Serbian border",gp_mid,27.21,22.8,308,BG,,,,,group of beds,,,,,,,,,"marl with limestone and sandstone intercalations, 25-30 m",marl,,lithified,,,"""limestone""",,lithified,,,"reef, buildup or bioherm",,biostrome,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67572,col,,22.799999,42.816666,"NW of Jaroslavci, Breznik area, Biostrome, Pernik",,Reef 2736,9,Maastrichtian,,72.1,66,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"NW of Jaroslavci, NW of Breznik, Pernik, W Bulgaria near the Serbian border",gp_mid,27.18,22.84,308,BG,,,,,group of beds,,,,,,,,,25-30 m,marl,,lithified,,,"""limestone""",,lithified,sandy,,"reef, buildup or bioherm",,biostrome,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67573,col,,22.799999,42.816666,"NE of Jaroslavci, Breznik area, Biostrome, Pernik",,Reef 2736,12,Campanian,,83.6,72.1,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"NE of Jaroslavci, NW of Breznik, Pernik, W Bulgaria near the Serbian border",gp_mid,27.91,23.63,308,BG,,,,,group of beds,,,,,,,,Previously considered Maastrichtian. Sr isotopes suggest Campanian age (Swinburne et al. 1992),10 m,marl,,lithified,,,,,,,,"reef, buildup or bioherm",,biostrome,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67574,col,,22.833332,42.733334,"Konska, Breznik area, Biostrome, Pernik",,Reef 2736,9,Maastrichtian,,72.1,66,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"W of Konska, W of Breznik, Pernik, W Bulgaria near the Serbian border",gp_mid,27.15,22.76,308,BG,,,,,group of beds,,,,,,,,,30-35 m,marl,,lithified,,,,,,,,"reef, buildup or bioherm",,biostrome,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67576,col,,22.85,42.766666,"Garlo II, Breznik area, Pernik",,Reef 2736,10,Late Campanian,,83.5,70.6,Tchechmedjieva,1986,19255,BG,,,based on nearby landmark,minutes,outcrop,"N of Garlo I, NW of Breznik, Pernik, W Bulgaria near the Serbian border",gp_mid,27.83,23.48,308,BG,,,,,group of beds,,,,,,,,"Original age assigment Maastrichtian. Revised by Swinburne et al. (Cret. Res. 13, 1992) based on Sr isotopes and larger foraminifers",12-15 m,limestone,,lithified,sandy,,,,,,,"reef, buildup or bioherm",,bioconstruction with dominant rudists,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67594,col,,13.05,42.166668,"Ricetto, Carseolani Mountains, Rudist biostrome",,Reef 1941,3,Santonian,,86.3,83.6,Mariotti,1982,19260,IT,,,based on nearby landmark,minutes,outcrop,"near Ricetto, SE of Rieti, Lazio",gp_mid,22.26,29.12,307,IT,,,,,group of beds,,,,,,,,,,packstone,,lithified,,,grainstone,,lithified,,,platform/shelf-margin reef,,"Hippuritid and coral biostrome (platform edge), 4-5 m thick","macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67606,col,Senyus,1.35,42.25,"Segre Valley, Organya Basin, Senyus Unit, coral biostrome",,Reef 2450,6,Late Aptian,,122.46,112.03,Schöllhorn,1997,19261,ES,,,based on nearby landmark,minutes,small collection,,gp_mid,25.43,31.96,304,ES,,Senyus,,,bed,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,"disk shaped coral biostrome (lense), 1 m thick",macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67607,col,Font Bordonera,1.35,42.25,"Segre Valley, Organya Basin, Font Bordonera Unit, coral banks",,Reef 2450,4,Late Aptian,,122.46,112.03,Schöllhorn,1997,19261,ES,,,based on nearby landmark,minutes,small collection,,gp_mid,25.43,31.96,304,ES,,Font Bordonera,,,bed,,,,,,,,uppermost Late Aptian,,limestone,,lithified,,,marl,,lithified,,,"reef, buildup or bioherm",,"coral banks, thickness about 1 m, laterally extensive",macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67609,col,Smochan,24.683332,43.150002,Goznitsa,,Reef 4007,4,Late Barremian,,130,125.45,Idakieva,2007,30902,BG,Lovech,,based on nearby landmark,minutes,outcrop,NW of Lovech,gp_mid,37.92,11.68,308,BG,,Smochan,Lovech Urgonian,,group of beds,,,,,,,,,"lagoonal marls, siltstones and sandstones with small coral biostromes and patch reefs",marl,,lithified,,,,,,,,perireef or subreef,,,macrofossils,,,,,,,,body,good,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67610,col,Sant Corneli,1.066667,42.200001,"Vilanoveta, St. Corneli, coral lithosome, Lleida",,Reef 1285,18,Santonian,,86.3,83.6,Valldeperas,2000,19264,ES,,,based on nearby landmark,minutes,outcrop,"Sant Marti de Vilanoveta, NE of Tremp, Lleida",gp_mid,12.73,32.09,304,ES,,Sant Corneli,,Sant Pere de Vilanoveta,group of beds,,,,,,,,,,floatstone,,lithified,,,,,,,,"reef, buildup or bioherm",,lenticular platy coral lithosomes over 1 m thick,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67620,col,,15.083333,41.016666,"Irpinia, Appennines, Campania",,Reef 177,1,Carnian,,237,228,Zamparelli,1993,19283,IT,,,based on nearby landmark,minutes,outcrop,"NE of Avellino, Campania",gp_mid,30.14,12.21,307,IT,,,,,group of beds,,,,,,,,,,limestone,,lithified,,,marl,,lithified,,,"reef, buildup or bioherm",,mud-mound,"macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67621,col,Tarap,83.966667,28.700001,"Yak Kharka, Manang area, Tarap Formation, patch reef",,Reef 61,3,Norian,,228,208.5,Garzanti et al.,1994,19284,NP,,,estimated from map,minutes,outcrop,"Jarsgeng valley near Yak Kharka, NW of Manang",gp_mid,58.27,-33.65,501,NP,,Tarap,,Middle,member,,,,,,,,,,framestone,,lithified,,,bafflestone,,lithified,,,"reef, buildup or bioherm",,coral patch reefs,macrofossils,,,,,,,,,,,,,,,,,,,,,biostratigraphic,field collection,,,,,,,,
67625,col,Fatra,19.6,49.150002,"Smoliacke Hradky Hill, Bobrovcek, W Tatra Mountains",,Reef 2136,6,Rhaetian,,208.5,201.3,Roniewicz and Michalik,1991,19285,SK,,,based on nearby landmark,minutes,outcrop,"S slope of Smoliacke Hradky Hill, N of Bobrovcek, Liptovsky Mikulas area",gp_mid,34.72,24.87,308,SK,,Fatra,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,2 biostromal units,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67628,col,,14.783333,46.25,"Menina Planina, Kamnik-Savinja Alps",,Reef 149,3,Carnian,,237,228,Ramovs,1992,19286,SI,,,based on nearby landmark,minutes,local area,"Vivodnik, Snezni vrh, Globace, Vrtacnik, Ovcji stan, Vetrnik and Petelinjek in the Menina Planina Mountains, NE of Ljubljana",gp_mid,34.5,15.3,307,SI,,,,,group of beds,,,,,,,,Lower Carnian,,limestone,,lithified,,,"""limestone""",dolomitic,lithified,,,"reef, buildup or bioherm",,,"macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67648,col,Muschelkalk,1.083333,41.283333,"Montral, Tarragona, Dasycladacean reef, Cataluna",,Reef 2345,1,Ladinian,,242,237,Hemleben and Freels,1977,19310,ES,,,estimated from map,minutes,outcrop,Montral area NW of Tarragona,gp_mid,22.98,19.15,304,ES,,Muschelkalk,,Upper,group of beds,,,,,,,,Middle Ladinian,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67652,col,Wetterstein,12.016667,47.700001,"Wendelstein, reef, Wetterstein Limestone, Bavarian Alps",,Reef 156,5,Ladinian,,242,237,Wolff,1973,19312,DE,,,based on nearby landmark,minutes,local area,"Wendelstein-Kampenwand area, S of Rosenheim, S Bayern",gp_mid,30.15,27.81,305,DE,,Wetterstein,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67677,col,,121.333336,-1.966667,"Kolonodale area, E Sulawesi, reefal facies",,Reef 147,1,Rhaetian,,208.5,201.3,Martini et al.,1997,19322,ID,,,based on nearby landmark,minutes,local area,"Tomata-Kolonodale road between the villages of Kolaka and Bunta, E Sulawesi Tengah",gp_mid,105.88,-18.65,684,ID,,,,,group of beds,,,,,,,,,algal-coral boundstones and bioclastic packstones to grainstones,reef rocks,,lithified,,,packstone,,lithified,,,"reef, buildup or bioherm",,,"macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67687,col,Kuta,144.840271,-6.033333,"Kurumugl Reef, Kuta Limestone, Central Highland, Chimbu",,Reef 79,5,Rhaetian,,208.5,201.3,Kristan-Tollmann,1990,19334,PG,,,stated in text,minutes,outcrop,W of Kundiawa,gp_mid,119.04,-39.55,800,PG,,Kuta,,,group of beds,,,,,,,,,,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,microfossils",,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67723,col,,11.566667,46.533333,"Mahlknecht (Molignon) Cliff, Alpi di Siusi, Dolomites",,Reef 15,3,Longobardian,,242,235,Brandner et al.,1991,19356,IT,,,based on nearby landmark,minutes,outcrop,"in the SW part of the Alpi di Siusi (Seiser Alm), E of Bozen, Trentino",gp_mid,34.86,16.79,307,IT,,,Wengen,,group of beds,,,,,,,,"The Mahlknecht Cliff represents allochthonous megabreccias (Marmolada Conglomerate, ""Pachycardientuff"") formed after and during a time of strong volcanic activity. ","The limestone facies types comprise boundstones, followed by floatstones/rudstones, wackestones and packstones/grainstones. In addition, a fine- and medium-grained microbreccia consisting of limestone clasts and volcanic material occurs.",reef rocks,,lithified,,,,,,,,slope/ramp reef,,subtidal upper and middle foreslope,"macrofossils,mesofossils,microfossils",,,,,,,,,,allochthonous,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67742,col,,34.933334,32.683334,"Asher-Atlit-1 Borehole, reef facies, Haifa",,Reef 2787,1,Norian,,228,208.5,Korngreen and Benjamini,2001,19361,IL,,,based on nearby landmark,minutes,small collection,"S of Haifa, N Israel",gp_mid,37.89,4.84,508,IL,,,,,group of beds,,,,,,,,,"The reef facies may correspond to platform rim biolithite reefs, or to ramp-like oolitic shoals and patch reefs. Back-reef environments are characterized by algal-foraminiferal facies with coated grains, oncoids and foraminifera, and a grapestone facies. Cummulative thickness of reef facies about 340 m.",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,"core,peel or thin section,field collection",,,,,,,,
67806,col,,13.933333,46.366669,"Pokljuka reef, Northern Julian Alps",,Reef 524,15,Carnian,,237,228,Turnsek and Buser,1989,19372,SI,,,based on nearby landmark,minutes,outcrop,"along the forest road between Srenjski pasnik and the Sport Hotel, Lemovce area",gp_mid,34.27,15.85,307,SI,,,,,group of beds,,,,,,,,,light grey biolithitic massive limestones,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils",,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,
67807,col,Upper Rhaetian Reef Limestone,11.8,47.633331,"Wallberg-Blankenstein area, Tegernsee, Bavaria",,Reef 16,1,Rhaetian,,208.5,201.3,Ehses and Leinfelder,1988,19373,DE,,,based on nearby landmark,minutes,outcrop,"Wallberg-Blankenstein Mts. area, Lake Tegernsee, SE of Rottach-Egern, S Bavaria",gp_mid,29.51,27.56,307,DE,,Upper Rhaetian Reef Limestone,,,formation,,,,,,,,"""Oberrhätriffkalk""","bafflestones, framestones, float-/rudstones, bindstones, wacke-/packstones",reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,patch reefs,"macrofossils,mesofossils,microfossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67865,col,La Manga,-70.283333,-38.700001,"Sierra de la Vaca Muerta, La Manga Formation, Neuquen",,Reef 414,2,Oxfordian,,163.5,157.3,Matheos and Morsch,1990,19397,AR,,,based on nearby landmark,minutes,outcrop,"southern Sierra de la Vaca Muerta, NW of Zapala, Neuquen",gp_mid,-23.6,-44.11,291,AR,,La Manga,,,group of beds,,,,,,,,,coral-algal framestone,framestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils",,,,,,,,,,,,,,,,,,,,,paleoecologic,field collection,,,,,,,,
67868,col,,34.966667,44.849998,"Sudak area, coral-algal bioherms, Crimea",,Reef 2015,24,Callovian,Oxfordian,166.1,157.3,Klikushin,1996,19399,UA,,,based on nearby landmark,minutes,local area,"incl. Gora Lysaya, S Crimea",gp_mid,47.46,33.64,302,UA,,,,,group of beds,,,,,,,,,light coral-algal reef limestones and calcareous mudstones and siltstones of reef slope/interreef,limestone,,lithified,,,lime mudstone,,lithified,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,taxonomic,field collection,,,,,,,,
67903,col,,-9.35,39.316666,"Consolacao, Peniche area, coral biostrome 0",,Reef 2762,11,Early Kimmeridgian,,155.7,150.8,Werner,1986,19405,PT,,,based on nearby landmark,minutes,small collection,"coastal section S of Consolacao, S of Peniche, Leiria",gp_mid,8.13,24.31,304,PT,,,,,bed,,Consolacao,6,bottom to top,,,,,sandy marly limestone,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67904,col,,-9.35,39.316666,"Consolacao, Peniche area, coral biostrome 1",,Reef 2762,6,Early Kimmeridgian,,155.7,150.8,Werner,1986,19405,PT,,,based on nearby landmark,minutes,small collection,"coastal section S of Consolacao, S of Peniche, Leiria",gp_mid,8.13,24.31,304,PT,,,,,bed,,Consolacao,52,bottom to top,,,,,sandy marly limestone,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
67905,col,,-9.35,39.316666,"Consolacao, Peniche area, coral biostrome 2",,Reef 2762,17,Early Kimmeridgian,,155.7,150.8,Werner,1986,19405,PT,,,based on nearby landmark,minutes,small collection,"coastal section S of Consolacao, S of Peniche, Leiria",gp_mid,8.13,24.31,304,PT,,,,,bed,,Consolacao,57,bottom to top,,,,,sandy marly limestone,limestone,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,,,,,,,,,,,,,,paleoecologic,"peel or thin section,field collection",,,,,,,,
